hs37d5 mapping,,,,,,
SampleID,Analysis-ready reads,Mapped reads,Q37 mapped reads,After removing duplicates,Unique reads,Average length of mapped reads
P25RomanianTeeth,21341288,11939365,10806583,5979853,5979853,147.748
P26RomanianTeeth,5207710,385606,346851,191458,191458,144.89
P27RomanianTeeth,8445223,1836454,1682947,815582,815582,145.282
P28RomanianTeeth,11584520,59763,53658,30860,30860,135.845
P29RomanianTeeth,19669636,1466613,1321086,752621,752621,130.132
P30RomanianTeeth,6811881,113870,101026,50923,50923,133.107
P31RomanianTeeth,20354178,77955,55516,32653,32653,109.757
P32RomanianTeeth,21968073,533576,478714,282981,282981,131.837
P33EBC1RomanianControl,0,0,0,0,0,0
